0;0;0
435;0.1;162.17
525;0.1;189.73
615;0.52;160.35
705;0.75;139.45
798;3.03;170.24
843;2.64;184.75
933;1.02;180.06
1020;2.88;194.85
1110;3.01;189.47
1197;3.9;185.58
1320;2.37;176.48
1404;2.81;172.58
1494;3.48;166.99
1587;6.2;170.25
1674;7.49;168.13
1764;9.97;167.32
1851;10.08;170.29
1941;12.57;169.61
2028;12.18;171.1
2115;15.5;171.45
2202;16.77;172.31
2289;19.17;170.2
2376;19.63;170.59
2463;21.75;170.83
2553;24.98;171.61
2640;28.18;173.09
2685;28.71;172.91
2874;31.47;170.62
2958;31.04;169.37
3045;32.66;169.28
3135;34.55;169.66
3222;37.33;168.04
3312;39.78;169.36
3399;39.2;170.93
3489;38.05;174.48
3576;39.77;176.18
3666;39.86;175.8
3753;43.17;177.29
3840;48.22;177.34
3927;51.84;177.24
4014;55.59;178.41
4104;54.39;177.96
4185;54.12;176.95
4275;54.2;176.11
4368;52.17;177.52
4455;52.93;176.97
4542;53.4;176.42
4632;52.06;176.13
4722;52.28;177.17
4809;52.12;175.39
4896;52.9;177.38
4986;53.56;177.49
5076;53.38;178.08
5163;52.15;179.42
5250;54.48;182.13
5331;53.69;179.16
5427;52.39;177.14
5514;52.86;176.32
5598;52.38;176.13
5685;53.18;176.24
5778;54.82;175.96
5859;53.66;174.29
5952;54.09;176.47
6042;53.91;176.54
6129;52.07;178.89
6213;52.36;178.74
6306;51.37;177.65
6393;52.32;175.91
6480;53.29;175.62
6570;54.08;176.56
6657;53.62;175.84
6747;52.03;177.02
6831;50.8;177.41
6918;51.25;176.13
7005;50.78;175.68
7095;52.11;176.24
7182;52.22;174.36
7269;54.72;175.87
7359;56.38;172.57
7440;56.35;171.98
7536;59.27;169.37
7620;61.16;168.22
7710;61.75;165.75
7797;61.39;163.81
7884;64.22;161.61
7968;63.94;157.83
8052;64.23;155.86
8142;63.92;151.88
8232;64.46;146.96
8322;66.77;142.49
8403;66.86;138.81
8496;67.93;136.1
8586;70.17;131.76
8676;70.2;128.28
8763;72.37;124.66
8853;71.19;122.72
8937;73.25;118
9027;79.04;113.65
9114;83.71;110.74
9204;86.27;113.83
9294;87.12;114.61
9378;86.1;115.26
9531;85.42;116.85
9534;85.66;116.42
9564;84.3;118.35
9579;85.04;117.2
9582;83.98;116.51
9594;83.3;117.99
9597;83.66;116.73
9621;84.62;117.07
9705;86.3;118.16
9753;85.6;119.8
9798;84.91;120.37
9843;86.46;120.8
9888;85.67;122.39
9927;84.75;121.39
9975;85.81;121.32
10017;87.37;122.14
10062;88.13;121.36
10110;90.71;121.07
10149;91.34;121.01
10233;93.12;118.44
10323;91.2;117.57
10365;92.18;118.72
10413;88.93;118.83
10500;88.68;118.11
10548;89.82;117.54
10590;88.57;119.22
10638;85.67;118.61
10680;86.85;118.73
10767;87.04;119.43
10812;84.12;120.46
10854;83.59;121.32
10944;83.39;120.82
10986;83.63;121.67
11055;87.97;120.86
11115;87.02;121.04